index,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,crew,director
0,237000000,"Action,Adventure,Fantasy,Science Fiction",http://www.avatarmovie.com/,19995,"culture clash,future,space war,space colony,society",en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150437577,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment,Lightstorm Entertainment","US,GB",2009-12-10,2787965087,162,"en,es",Released,Enter the World of Pandora.,Avatar,7.2,11800,"Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,Michelle Rodriguez","Stephen E. Rivkin,James Cameron,Mauro Fiore",James Cameron
1,300000000,"Adventure,Fantasy,Action",http://disney.go.com/disneypictures/pirates/,285,"ocean,drug abuse,exotic island,east india trading company",en,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann.",139082615,"Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions",US,2007-05-19,961000000,169,en,Released,At the end of the world the adventure begins.,Pirates of the Caribbean: At World's End,6.9,4500,"Johnny Depp,Orlando Bloom,Keira Knightley,Stellan Skarsgård,Chow Yun-fat","Dariusz Wolski,Ted Elliott,Terry Rossio",Gore Verbinski
2,200000000,"Action,Crime,Drama,Thriller",http://www.thedarkknightrises.com/,49026,"dc comics,crime fighter,terrorist,secret identity,burglar",en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department.",11231295,"Legendary Pictures,Warner Bros,DC Entertainment,Syncopy",US,2012-07-16,1084939099,165,en,Released,The Legend Ends,The Dark Knight Rises,7.6,9106,"Christian Bale,Michael Caine,Gary Oldman,Anne Hathaway,Tom Hardy","Hans Zimmer,Wally Pfister,Lee Smith",Christopher Nolan
3,190000000,"Action,Adventure,Science Fiction",http://www.ironman3.com,68726,"marvel comic,sequel,superhero,based on comic book",en,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",198538588,"Marvel Studios,DMG Entertainment",US,2013-05-03,1215439994,130,"en,zh",Released,Unleash the power behind the armor.,Iron Man 3,6.9,12000,"Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Guy Pearce,Ben Kingsley","Shane Black,Drew Pearce,Brian Tyler",Shane Black
4,225000000,"Action,Adventure,Science Fiction",http://www.marvel.com/avengers,24428,"new york,shield,marvel comic,superhero,based on comic book",en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster.",144448633,"Paramount Pictures,Marvel Studios",US,2012-04-25,1519557910,143,en,Released,Some assembly required.,The Avengers,7.4,11776,"Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson","Alan Silvestri,Seamus McGarvey,Jeffrey Ford",Joss Whedon
5,250000000,"Action,Adventure,Fantasy",http://www.thehobbit.com/,122917,"corruption,elves,dwarves,orcs,middle-earth",en,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it.",120965743,"WingNut Films,New Line Cinema,Warner Bros Pictures,Metro-Goldwyn-Mayer","NZ,US",2014-12-10,956019788,144,en,Released,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760,"Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish","Howard Shore,Andrew Lesnie,Jabez Olssen",Peter Jackson
6,165000000,"Action,Thriller,Science Fiction",http://www.missionimpossible.com,56292,"secret agent,spy,central intelligence agency,mission,helicopter",en,Mission: Impossible - Rogue Nation,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",123456789,"Paramount Pictures,Skydance Media,Bad Robot Productions,Alibaba Pictures","US,CN",2015-07-31,682716636,131,"en,de",Released,Desperate Times. Desperate Measures.,Mission: Impossible - Rogue Nation,7.2,4500,"Tom Cruise,Jeremy Renner,Simon Pegg,Rebecca Ferguson,Ving Rhames","Joe Kraemer,Robert Elswit,Eddie Hamilton",Christopher McQuarrie
7,175000000,"Action,Adventure,Science Fiction",http://www.starwars.com,181808,"space opera,rebel,death star,resistance,lightsaber",en,Star Wars: The Last Jedi,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers.",187654321,"Lucasfilm,Walt Disney Pictures",US,2017-12-15,1332539889,152,en,Released,The Saga Continues,Star Wars: The Last Jedi,7.1,8900,"Mark Hamill,Carrie Fisher,Adam Driver,Daisy Ridley,John Boyega","John Williams,Steve Yedlin,Bob Ducsay",Rian Johnson
8,180000000,"Action,Adventure,Fantasy",http://www.marvel.com/thorragnarok,284053,"marvel comic,norse mythology,superhero,based on comic book,thor",en,Thor: Ragnarok,Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok.,156789012,Marvel Studios,US,2017-11-03,853977126,130,"en,no",Released,No Hammer. No Problem.,Thor: Ragnarok,7.3,9200,"Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,Tessa Thompson","Mark Mothersbaugh,Javier Aguirresarobe,Joel Negron",Taika Waititi
9,200000000,"Adventure,Fantasy,Action",http://www.thehobbit.com,57158,"elves,dwarves,orcs,hobbit,dragon",en,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",94370564,"WingNut Films,New Line Cinema,Warner Bros Pictures,Metro-Goldwyn-Mayer","NZ,US",2013-12-11,958400000,161,en,Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524,"Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish","Howard Shore,Andrew Lesnie,Jabez Olssen",Peter Jackson
